id,recommendation
1,RecommendedItem[item:1500, value:5.9178734]
1,RecommendedItem[item:1642, value:5.3960385]
1,RecommendedItem[item:1656, value:5.3458047]
1,RecommendedItem[item:1367, value:5.2517986]
1,RecommendedItem[item:1449, value:5.2109566]
1,RecommendedItem[item:1467, value:5.095264]
1,RecommendedItem[item:1398, value:5.076799]
1,RecommendedItem[item:1368, value:4.9464736]
1,RecommendedItem[item:1643, value:4.9361706]
1,RecommendedItem[item:1639, value:4.8542066]
2,RecommendedItem[item:1500, value:5.3256197]
2,RecommendedItem[item:1467, value:5.197197]
2,RecommendedItem[item:1449, value:5.111604]
2,RecommendedItem[item:1398, value:5.0575905]
2,RecommendedItem[item:1642, value:5.0265546]
2,RecommendedItem[item:1639, value:4.9136143]
2,RecommendedItem[item:1367, value:4.863419]
2,RecommendedItem[item:1080, value:4.825068]
2,RecommendedItem[item:1189, value:4.8001194]
2,RecommendedItem[item:1450, value:4.7351356]
3,RecommendedItem[item:1500, value:5.0]
3,RecommendedItem[item:1449, value:4.556421]
3,RecommendedItem[item:1450, value:4.5]
3,RecommendedItem[item:1398, value:4.0942326]
3,RecommendedItem[item:867, value:4.0713377]
3,RecommendedItem[item:1080, value:4.0339065]
3,RecommendedItem[item:851, value:4.0106645]
3,RecommendedItem[item:1463, value:3.981801]
3,RecommendedItem[item:1629, value:3.9781857]
3,RecommendedItem[item:1646, value:3.9157362]
4,RecommendedItem[item:1642, value:6.5]
4,RecommendedItem[item:1463, value:5.998848]
4,RecommendedItem[item:1293, value:5.963737]
4,RecommendedItem[item:1500, value:5.9061637]
4,RecommendedItem[item:868, value:5.7319064]
4,RecommendedItem[item:1080, value:5.6102405]
4,RecommendedItem[item:1612, value:5.601659]
4,RecommendedItem[item:1367, value:5.5419807]
4,RecommendedItem[item:1368, value:5.5068617]
4,RecommendedItem[item:1449, value:5.4266963]
5,RecommendedItem[item:1080, value:5.232233]
5,RecommendedItem[item:1500, value:5.220901]
5,RecommendedItem[item:1367, value:5.2018523]
5,RecommendedItem[item:1233, value:4.790992]
5,RecommendedItem[item:1449, value:4.7302966]
5,RecommendedItem[item:1639, value:4.616135]
5,RecommendedItem[item:1158, value:4.5970845]
5,RecommendedItem[item:1251, value:4.583484]
5,RecommendedItem[item:1467, value:4.544652]
5,RecommendedItem[item:1368, value:4.5242796]
6,RecommendedItem[item:1500, value:5.2808075]
6,RecommendedItem[item:1449, value:4.739845]
6,RecommendedItem[item:1642, value:4.7349677]
6,RecommendedItem[item:1367, value:4.478059]
6,RecommendedItem[item:1398, value:4.46163]
6,RecommendedItem[item:1467, value:4.4061656]
6,RecommendedItem[item:1064, value:4.3983965]
6,RecommendedItem[item:1639, value:4.3441386]
6,RecommendedItem[item:1368, value:4.291961]
6,RecommendedItem[item:114, value:4.280257]
7,RecommendedItem[item:1500, value:5.760697]
7,RecommendedItem[item:1467, value:5.555532]
7,RecommendedItem[item:1449, value:5.3225393]
7,RecommendedItem[item:1367, value:5.310331]
7,RecommendedItem[item:1643, value:5.2674007]
7,RecommendedItem[item:1398, value:5.2380867]
7,RecommendedItem[item:1642, value:5.230532]
7,RecommendedItem[item:114, value:5.002596]
7,RecommendedItem[item:1368, value:4.970419]
7,RecommendedItem[item:1629, value:4.9519267]
8,RecommendedItem[item:1500, value:5.8467546]
8,RecommendedItem[item:1367, value:5.710745]
8,RecommendedItem[item:1398, value:5.636393]
8,RecommendedItem[item:1642, value:5.5857863]
8,RecommendedItem[item:1449, value:5.532405]
8,RecommendedItem[item:1467, value:5.503608]
8,RecommendedItem[item:1396, value:5.2311153]
8,RecommendedItem[item:1643, value:5.122874]
8,RecommendedItem[item:1368, value:5.0870347]
8,RecommendedItem[item:1064, value:5.0753818]
9,RecommendedItem[item:1500, value:6.8786798]
9,RecommendedItem[item:1367, value:5.7904444]
9,RecommendedItem[item:1293, value:5.71253]
9,RecommendedItem[item:1656, value:5.5]
9,RecommendedItem[item:868, value:5.371903]
9,RecommendedItem[item:1449, value:5.2234755]
9,RecommendedItem[item:1398, value:5.1277394]
9,RecommendedItem[item:1368, value:5.1270556]
9,RecommendedItem[item:1612, value:5.1254277]
9,RecommendedItem[item:851, value:5.1110983]
10,RecommendedItem[item:1500, value:5.5527134]
10,RecommendedItem[item:1467, value:5.244371]
10,RecommendedItem[item:1642, value:5.2411156]
10,RecommendedItem[item:1449, value:5.14279]
10,RecommendedItem[item:1643, value:5.1379385]
10,RecommendedItem[item:1367, value:5.0967665]
10,RecommendedItem[item:1191, value:5.0857863]
10,RecommendedItem[item:1293, value:5.0828576]
10,RecommendedItem[item:1398, value:5.035496]
10,RecommendedItem[item:1368, value:4.9706182]
11,RecommendedItem[item:1293, value:5.143165]
11,RecommendedItem[item:1656, value:5.0224075]
11,RecommendedItem[item:1612, value:4.9617915]
11,RecommendedItem[item:1662, value:4.9503527]
11,RecommendedItem[item:1500, value:4.849779]
11,RecommendedItem[item:1398, value:4.7456903]
11,RecommendedItem[item:1467, value:4.704927]
11,RecommendedItem[item:1642, value:4.702884]
11,RecommendedItem[item:1449, value:4.694317]
11,RecommendedItem[item:1643, value:4.6925564]
12,RecommendedItem[item:1642, value:5.6983447]
12,RecommendedItem[item:1293, value:5.644212]
12,RecommendedItem[item:1500, value:5.6330104]
12,RecommendedItem[item:1398, value:5.4889374]
12,RecommendedItem[item:1368, value:5.451907]
12,RecommendedItem[item:1449, value:5.4133096]
12,RecommendedItem[item:1643, value:5.387804]
12,RecommendedItem[item:1612, value:5.3422003]
12,RecommendedItem[item:1080, value:5.303684]
12,RecommendedItem[item:1367, value:5.2913775]
13,RecommendedItem[item:1500, value:5.151465]
13,RecommendedItem[item:1642, value:4.868019]
13,RecommendedItem[item:1449, value:4.866429]
13,RecommendedItem[item:1398, value:4.7403417]
13,RecommendedItem[item:1467, value:4.6886673]
13,RecommendedItem[item:1367, value:4.5922756]
13,RecommendedItem[item:1064, value:4.4532766]
13,RecommendedItem[item:1524, value:4.426076]
13,RecommendedItem[item:114, value:4.422187]
13,RecommendedItem[item:1639, value:4.416431]
14,RecommendedItem[item:1500, value:5.7599263]
14,RecommendedItem[item:1642, value:5.2075553]
14,RecommendedItem[item:1449, value:5.064651]
14,RecommendedItem[item:1643, value:4.994553]
14,RecommendedItem[item:1467, value:4.9648943]
14,RecommendedItem[item:1367, value:4.893323]
14,RecommendedItem[item:1639, value:4.8032246]
14,RecommendedItem[item:1368, value:4.7303543]
14,RecommendedItem[item:1398, value:4.696133]
14,RecommendedItem[item:114, value:4.669673]
15,RecommendedItem[item:1500, value:6.0]
15,RecommendedItem[item:1642, value:4.700796]
15,RecommendedItem[item:1449, value:4.329667]
15,RecommendedItem[item:1467, value:4.295637]
15,RecommendedItem[item:1463, value:4.215414]
15,RecommendedItem[item:1541, value:4.120664]
15,RecommendedItem[item:1293, value:4.037118]
15,RecommendedItem[item:1646, value:3.9843607]
15,RecommendedItem[item:1612, value:3.9794528]
15,RecommendedItem[item:1398, value:3.9469538]
16,RecommendedItem[item:1500, value:6.32333]
16,RecommendedItem[item:1467, value:5.6341453]
16,RecommendedItem[item:1367, value:5.617894]
16,RecommendedItem[item:1449, value:5.6084805]
16,RecommendedItem[item:1643, value:5.530516]
16,RecommendedItem[item:1642, value:5.4648695]
16,RecommendedItem[item:1398, value:5.38739]
16,RecommendedItem[item:1080, value:5.320814]
16,RecommendedItem[item:114, value:5.2770205]
16,RecommendedItem[item:1639, value:5.2441473]
17,RecommendedItem[item:1500, value:6.0]
17,RecommendedItem[item:1293, value:4.7928934]
17,RecommendedItem[item:868, value:4.659482]
17,RecommendedItem[item:1064, value:4.6185126]
17,RecommendedItem[item:851, value:4.513599]
17,RecommendedItem[item:1449, value:4.483168]
17,RecommendedItem[item:1612, value:4.351472]
17,RecommendedItem[item:1467, value:4.331881]
17,RecommendedItem[item:1629, value:4.285905]
17,RecommendedItem[item:1499, value:4.2400303]
18,RecommendedItem[item:1612, value:6.2928934]
18,RecommendedItem[item:1293, value:6.1666665]
18,RecommendedItem[item:1191, value:5.8333335]
18,RecommendedItem[item:1175, value:5.5060544]
18,RecommendedItem[item:1656, value:5.2754364]
18,RecommendedItem[item:1243, value:5.2068048]
18,RecommendedItem[item:1642, value:5.1860337]
18,RecommendedItem[item:1390, value:5.184699]
18,RecommendedItem[item:1367, value:5.132471]
18,RecommendedItem[item:1500, value:5.0835667]
19,RecommendedItem[item:1500, value:5.0790086]
19,RecommendedItem[item:1642, value:5.07339]
19,RecommendedItem[item:1629, value:4.9977612]
19,RecommendedItem[item:1158, value:4.9927225]
19,RecommendedItem[item:1449, value:4.907682]
19,RecommendedItem[item:1639, value:4.7005053]
19,RecommendedItem[item:1524, value:4.6133637]
19,RecommendedItem[item:1125, value:4.5934587]
19,RecommendedItem[item:1398, value:4.5857863]
19,RecommendedItem[item:868, value:4.57037]
20,RecommendedItem[item:1191, value:6.0]
20,RecommendedItem[item:1080, value:5.1625223]
20,RecommendedItem[item:1500, value:4.7071066]
20,RecommendedItem[item:1642, value:4.631331]
20,RecommendedItem[item:1449, value:4.3454885]
20,RecommendedItem[item:1524, value:4.3319764]
20,RecommendedItem[item:1398, value:4.324553]
20,RecommendedItem[item:1367, value:4.3228507]
20,RecommendedItem[item:1467, value:4.187528]
20,RecommendedItem[item:1158, value:4.1204486]
21,RecommendedItem[item:1500, value:5.699558]
21,RecommendedItem[item:1467, value:5.365068]
21,RecommendedItem[item:1449, value:5.1717515]
21,RecommendedItem[item:868, value:5.166782]
21,RecommendedItem[item:1064, value:4.98846]
21,RecommendedItem[item:1524, value:4.792231]
21,RecommendedItem[item:1398, value:4.761143]
21,RecommendedItem[item:1306, value:4.7395477]
21,RecommendedItem[item:1463, value:4.717772]
21,RecommendedItem[item:1367, value:4.6908073]
22,RecommendedItem[item:1080, value:6.2910533]
22,RecommendedItem[item:1467, value:5.5521545]
22,RecommendedItem[item:1367, value:5.453369]
22,RecommendedItem[item:1398, value:5.3690767]
22,RecommendedItem[item:1500, value:5.3191857]
22,RecommendedItem[item:1449, value:5.29675]
22,RecommendedItem[item:1191, value:5.2928934]
22,RecommendedItem[item:1642, value:5.201288]
22,RecommendedItem[item:1158, value:5.1506133]
22,RecommendedItem[item:1639, value:5.1084514]
23,RecommendedItem[item:1367, value:5.0528355]
23,RecommendedItem[item:1642, value:4.9701395]
23,RecommendedItem[item:1500, value:4.924853]
23,RecommendedItem[item:1449, value:4.8368683]
23,RecommendedItem[item:1368, value:4.761039]
23,RecommendedItem[item:1080, value:4.7282248]
23,RecommendedItem[item:1398, value:4.7088914]
23,RecommendedItem[item:1158, value:4.6396613]
23,RecommendedItem[item:1467, value:4.6378303]
23,RecommendedItem[item:1612, value:4.5469184]
24,RecommendedItem[item:1500, value:6.164292]
24,RecommendedItem[item:1656, value:5.5]
24,RecommendedItem[item:1449, value:5.4868493]
24,RecommendedItem[item:1398, value:5.484127]
24,RecommendedItem[item:1467, value:5.3900895]
24,RecommendedItem[item:1293, value:5.363961]
24,RecommendedItem[item:1367, value:5.32968]
24,RecommendedItem[item:1643, value:5.319218]
24,RecommendedItem[item:1642, value:5.3101635]
24,RecommendedItem[item:119, value:5.0942817]
25,RecommendedItem[item:1293, value:5.5]
25,RecommendedItem[item:1080, value:5.2777953]
25,RecommendedItem[item:1500, value:5.25]
25,RecommendedItem[item:1467, value:5.1956973]
25,RecommendedItem[item:1367, value:5.1493754]
25,RecommendedItem[item:1398, value:5.1087036]
25,RecommendedItem[item:1233, value:5.0129156]
25,RecommendedItem[item:1612, value:5.0]
25,RecommendedItem[item:1191, value:5.0]
25,RecommendedItem[item:1643, value:4.9994583]
26,RecommendedItem[item:1500, value:5.7928934]
26,RecommendedItem[item:1467, value:4.648133]
26,RecommendedItem[item:1449, value:4.598168]
26,RecommendedItem[item:1642, value:4.5902367]
26,RecommendedItem[item:1293, value:4.5583086]
26,RecommendedItem[item:1064, value:4.5359993]
26,RecommendedItem[item:851, value:4.5320053]
26,RecommendedItem[item:1463, value:4.505719]
26,RecommendedItem[item:1398, value:4.4281306]
26,RecommendedItem[item:868, value:4.3003163]
27,RecommendedItem[item:1500, value:5.1081944]
27,RecommendedItem[item:1398, value:4.539774]
27,RecommendedItem[item:1449, value:4.507615]
27,RecommendedItem[item:1642, value:4.5]
27,RecommendedItem[item:851, value:4.4831057]
27,RecommendedItem[item:119, value:4.423574]
27,RecommendedItem[item:1080, value:4.408117]
27,RecommendedItem[item:1467, value:4.3801413]
27,RecommendedItem[item:169, value:4.2859483]
27,RecommendedItem[item:114, value:4.2668743]
28,RecommendedItem[item:1500, value:5.8766947]
28,RecommendedItem[item:1367, value:5.393503]
28,RecommendedItem[item:1293, value:5.1916094]
28,RecommendedItem[item:1467, value:5.164445]
28,RecommendedItem[item:1642, value:5.0955315]
28,RecommendedItem[item:1080, value:5.0932393]
28,RecommendedItem[item:1463, value:5.065821]
28,RecommendedItem[item:1398, value:5.0417104]
28,RecommendedItem[item:1449, value:5.0350685]
28,RecommendedItem[item:868, value:5.0150876]
29,RecommendedItem[item:1500, value:6.8786798]
29,RecommendedItem[item:1642, value:5.3458047]
29,RecommendedItem[item:1367, value:5.3019977]
29,RecommendedItem[item:1450, value:5.1774135]
29,RecommendedItem[item:1293, value:5.088062]
29,RecommendedItem[item:1342, value:5.0]
29,RecommendedItem[item:1398, value:5.0]
29,RecommendedItem[item:1080, value:4.970832]
29,RecommendedItem[item:1449, value:4.958626]
29,RecommendedItem[item:1612, value:4.872918]
30,RecommendedItem[item:1293, value:5.6604123]
30,RecommendedItem[item:1642, value:5.659259]
30,RecommendedItem[item:1500, value:5.508622]
30,RecommendedItem[item:1367, value:5.479311]
30,RecommendedItem[item:1612, value:5.4674106]
30,RecommendedItem[item:1449, value:5.381519]
30,RecommendedItem[item:1398, value:5.3719974]
30,RecommendedItem[item:1064, value:5.228986]
30,RecommendedItem[item:1368, value:5.1522994]
30,RecommendedItem[item:1158, value:5.1163564]
31,RecommendedItem[item:1472, value:5.5]
31,RecommendedItem[item:1642, value:5.3137817]
31,RecommendedItem[item:1500, value:5.0]
31,RecommendedItem[item:1367, value:4.9126573]
31,RecommendedItem[item:1547, value:4.905573]
31,RecommendedItem[item:1449, value:4.8009777]
31,RecommendedItem[item:1398, value:4.797686]
31,RecommendedItem[item:1368, value:4.7304006]
31,RecommendedItem[item:1512, value:4.701491]
31,RecommendedItem[item:851, value:4.6414514]
32,RecommendedItem[item:1500, value:5.3398113]
32,RecommendedItem[item:1293, value:4.7674932]
32,RecommendedItem[item:851, value:4.747658]
32,RecommendedItem[item:1449, value:4.7461195]
32,RecommendedItem[item:1467, value:4.7225575]
32,RecommendedItem[item:1080, value:4.699718]
32,RecommendedItem[item:1398, value:4.6486673]
32,RecommendedItem[item:868, value:4.619914]
32,RecommendedItem[item:1646, value:4.6035533]
32,RecommendedItem[item:1639, value:4.5139003]
33,RecommendedItem[item:1500, value:6.5]
33,RecommendedItem[item:868, value:6.1068773]
33,RecommendedItem[item:1398, value:5.7071066]
33,RecommendedItem[item:1449, value:5.7040277]
33,RecommendedItem[item:1642, value:5.5857863]
33,RecommendedItem[item:1080, value:5.5313706]
33,RecommendedItem[item:1656, value:5.5]
33,RecommendedItem[item:1629, value:5.363961]
33,RecommendedItem[item:851, value:5.169015]
33,RecommendedItem[item:641, value:5.164932]
34,RecommendedItem[item:1398, value:6.5]
34,RecommendedItem[item:1396, value:6.0]
34,RecommendedItem[item:1189, value:5.820165]
34,RecommendedItem[item:1367, value:5.570572]
34,RecommendedItem[item:1656, value:5.5]
34,RecommendedItem[item:1342, value:5.5]
34,RecommendedItem[item:851, value:5.473584]
34,RecommendedItem[item:1293, value:5.374575]
34,RecommendedItem[item:1612, value:5.3180876]
34,RecommendedItem[item:1443, value:5.2732744]
35,RecommendedItem[item:1639, value:6.0]
35,RecommendedItem[item:1449, value:5.410487]
35,RecommendedItem[item:1189, value:5.0567055]
35,RecommendedItem[item:1467, value:5.0]
35,RecommendedItem[item:1500, value:5.0]
35,RecommendedItem[item:1463, value:4.9678664]
35,RecommendedItem[item:1305, value:4.9393396]
35,RecommendedItem[item:1506, value:4.815301]
35,RecommendedItem[item:1524, value:4.618185]
35,RecommendedItem[item:1070, value:4.609703]
36,RecommendedItem[item:1500, value:6.5]
36,RecommendedItem[item:851, value:6.1704206]
36,RecommendedItem[item:1293, value:5.235702]
36,RecommendedItem[item:868, value:5.122357]
36,RecommendedItem[item:1158, value:5.0]
36,RecommendedItem[item:1612, value:4.966547]
36,RecommendedItem[item:1191, value:4.8926315]
36,RecommendedItem[item:867, value:4.7248983]
36,RecommendedItem[item:1642, value:4.5915914]
36,RecommendedItem[item:1301, value:4.529379]
37,RecommendedItem[item:1642, value:6.3458047]
37,RecommendedItem[item:1500, value:5.9196377]
37,RecommendedItem[item:1467, value:5.550549]
37,RecommendedItem[item:1449, value:5.3855133]
37,RecommendedItem[item:1367, value:5.3241186]
37,RecommendedItem[item:1398, value:5.1460323]
37,RecommendedItem[item:1064, value:5.0543]
37,RecommendedItem[item:1293, value:5.0]
37,RecommendedItem[item:1643, value:4.9338236]
37,RecommendedItem[item:1524, value:4.894586]
38,RecommendedItem[item:1293, value:6.1601815]
38,RecommendedItem[item:1612, value:5.7110486]
38,RecommendedItem[item:1467, value:5.5913544]
38,RecommendedItem[item:1642, value:5.5844913]
38,RecommendedItem[item:1656, value:5.5]
38,RecommendedItem[item:1646, value:5.4309645]
38,RecommendedItem[item:1398, value:5.4093046]
38,RecommendedItem[item:1463, value:5.386629]
38,RecommendedItem[item:1358, value:5.3134065]
38,RecommendedItem[item:1639, value:5.2504454]
39,RecommendedItem[item:1500, value:7.5]
39,RecommendedItem[item:1541, value:6.5]
39,RecommendedItem[item:868, value:5.5804152]
39,RecommendedItem[item:1449, value:5.271282]
39,RecommendedItem[item:1629, value:5.097462]
39,RecommendedItem[item:1467, value:5.0]
39,RecommendedItem[item:1064, value:5.0]
39,RecommendedItem[item:1537, value:4.9236617]
39,RecommendedItem[item:1524, value:4.9118443]
39,RecommendedItem[item:1367, value:4.8742533]
40,RecommendedItem[item:1500, value:7.5]
40,RecommendedItem[item:1484, value:4.5]
40,RecommendedItem[item:868, value:4.2414966]
40,RecommendedItem[item:1449, value:4.0751467]
40,RecommendedItem[item:851, value:4.0424714]
40,RecommendedItem[item:1467, value:4.0]
40,RecommendedItem[item:1064, value:3.933168]
40,RecommendedItem[item:1189, value:3.9244928]
40,RecommendedItem[item:1396, value:3.8774157]
40,RecommendedItem[item:1186, value:3.8496983]
41,RecommendedItem[item:1500, value:5.2224646]
41,RecommendedItem[item:1367, value:5.0263176]
41,RecommendedItem[item:1449, value:4.8035827]
41,RecommendedItem[item:1467, value:4.774094]
41,RecommendedItem[item:1642, value:4.7535753]
41,RecommendedItem[item:1639, value:4.6444864]
41,RecommendedItem[item:1398, value:4.6414723]
41,RecommendedItem[item:1368, value:4.6398125]
41,RecommendedItem[item:1191, value:4.5108013]
41,RecommendedItem[item:1629, value:4.491765]
42,RecommendedItem[item:1293, value:7.0]
42,RecommendedItem[item:1500, value:6.258967]
42,RecommendedItem[item:1463, value:5.5]
42,RecommendedItem[item:1294, value:5.5]
42,RecommendedItem[item:1643, value:5.2576294]
42,RecommendedItem[item:1467, value:5.227458]
42,RecommendedItem[item:1367, value:5.182577]
42,RecommendedItem[item:1398, value:5.1100965]
42,RecommendedItem[item:1449, value:5.072571]
42,RecommendedItem[item:1612, value:5.0]
43,RecommendedItem[item:1500, value:5.9448214]
43,RecommendedItem[item:1449, value:5.1065445]
43,RecommendedItem[item:1642, value:5.0657063]
43,RecommendedItem[item:1293, value:5.0457525]
43,RecommendedItem[item:1463, value:5.0325317]
43,RecommendedItem[item:1467, value:4.994235]
43,RecommendedItem[item:1064, value:4.962307]
43,RecommendedItem[item:1398, value:4.957288]
43,RecommendedItem[item:1080, value:4.9419484]
43,RecommendedItem[item:1643, value:4.9344845]
44,RecommendedItem[item:1500, value:5.5385404]
44,RecommendedItem[item:1293, value:5.3408413]
44,RecommendedItem[item:1080, value:5.0673265]
44,RecommendedItem[item:1463, value:5.059942]
44,RecommendedItem[item:1449, value:5.0020714]
44,RecommendedItem[item:1367, value:4.9755692]
44,RecommendedItem[item:1612, value:4.9333324]
44,RecommendedItem[item:1467, value:4.844934]
44,RecommendedItem[item:1643, value:4.8446493]
44,RecommendedItem[item:1398, value:4.832469]
45,RecommendedItem[item:1500, value:5.5]
45,RecommendedItem[item:1449, value:5.493093]
45,RecommendedItem[item:1467, value:5.3473816]
45,RecommendedItem[item:1639, value:5.279042]
45,RecommendedItem[item:1064, value:5.2328033]
45,RecommendedItem[item:1398, value:5.19801]
45,RecommendedItem[item:1080, value:5.1681795]
45,RecommendedItem[item:1642, value:5.1132703]
45,RecommendedItem[item:1643, value:5.028083]
45,RecommendedItem[item:1233, value:4.9890437]
46,RecommendedItem[item:1656, value:5.5]
46,RecommendedItem[item:851, value:5.409392]
46,RecommendedItem[item:1367, value:5.2279305]
46,RecommendedItem[item:1293, value:5.116554]
46,RecommendedItem[item:1449, value:5.102082]
46,RecommendedItem[item:1642, value:5.016272]
46,RecommendedItem[item:1398, value:4.88743]
46,RecommendedItem[item:1500, value:4.8867297]
46,RecommendedItem[item:1158, value:4.878982]
46,RecommendedItem[item:1466, value:4.8426185]
47,RecommendedItem[item:851, value:5.114734]
47,RecommendedItem[item:1398, value:5.0439987]
47,RecommendedItem[item:1064, value:5.039619]
47,RecommendedItem[item:1293, value:5.0302258]
47,RecommendedItem[item:1639, value:5.022865]
47,RecommendedItem[item:1449, value:4.9635615]
47,RecommendedItem[item:1189, value:4.930668]
47,RecommendedItem[item:1080, value:4.7071066]
47,RecommendedItem[item:1396, value:4.7024984]
47,RecommendedItem[item:1612, value:4.6546702]
48,RecommendedItem[item:1500, value:5.482914]
48,RecommendedItem[item:1398, value:5.213727]
48,RecommendedItem[item:1367, value:5.196178]
48,RecommendedItem[item:1449, value:4.832711]
48,RecommendedItem[item:1467, value:4.7168493]
48,RecommendedItem[item:1368, value:4.671701]
48,RecommendedItem[item:1642, value:4.6340284]
48,RecommendedItem[item:1396, value:4.5869026]
48,RecommendedItem[item:318, value:4.5043616]
48,RecommendedItem[item:408, value:4.501367]
49,RecommendedItem[item:1367, value:4.479639]
49,RecommendedItem[item:1449, value:4.2965865]
49,RecommendedItem[item:1293, value:4.1543684]
49,RecommendedItem[item:868, value:4.0870624]
49,RecommendedItem[item:1642, value:4.0415926]
49,RecommendedItem[item:1158, value:3.9876192]
49,RecommendedItem[item:1467, value:3.8903358]
49,RecommendedItem[item:1368, value:3.8586302]
49,RecommendedItem[item:1629, value:3.8389661]
49,RecommendedItem[item:1524, value:3.8258774]
50,RecommendedItem[item:1191, value:5.1666665]
50,RecommendedItem[item:1293, value:5.0332932]
50,RecommendedItem[item:1612, value:4.6892676]
50,RecommendedItem[item:1080, value:4.660988]
50,RecommendedItem[item:1500, value:4.5]
50,RecommendedItem[item:1629, value:4.4512653]
50,RecommendedItem[item:1175, value:4.299934]
50,RecommendedItem[item:1367, value:4.288312]
50,RecommendedItem[item:643, value:4.264298]
50,RecommendedItem[item:320, value:4.1318755]
51,RecommendedItem[item:1367, value:6.160932]
51,RecommendedItem[item:1500, value:5.7247577]
51,RecommendedItem[item:1080, value:5.6541953]
51,RecommendedItem[item:1389, value:5.5]
51,RecommendedItem[item:296, value:5.3231773]
51,RecommendedItem[item:1233, value:5.2928934]
51,RecommendedItem[item:1643, value:5.199997]
51,RecommendedItem[item:1361, value:5.1039586]
51,RecommendedItem[item:1293, value:5.0]
51,RecommendedItem[item:1237, value:5.0]
52,RecommendedItem[item:1449, value:5.554439]
52,RecommendedItem[item:1500, value:5.5]
52,RecommendedItem[item:1398, value:5.458519]
52,RecommendedItem[item:1642, value:5.3519125]
52,RecommendedItem[item:1064, value:5.2834764]
52,RecommendedItem[item:1467, value:5.2618246]
52,RecommendedItem[item:1158, value:5.170474]
52,RecommendedItem[item:851, value:5.1703296]
52,RecommendedItem[item:1643, value:5.1647077]
52,RecommendedItem[item:1639, value:5.1436653]
53,RecommendedItem[item:1642, value:6.0502524]
53,RecommendedItem[item:1463, value:6.0]
53,RecommendedItem[item:1398, value:5.7567935]
53,RecommendedItem[item:1500, value:5.597631]
53,RecommendedItem[item:1449, value:5.371408]
53,RecommendedItem[item:1467, value:5.2346754]
53,RecommendedItem[item:1367, value:5.035757]
53,RecommendedItem[item:1639, value:5.030017]
53,RecommendedItem[item:1080, value:4.971971]
53,RecommendedItem[item:1064, value:4.9315033]
54,RecommendedItem[item:1500, value:6.0]
54,RecommendedItem[item:1467, value:5.7517896]
54,RecommendedItem[item:1398, value:5.5138135]
54,RecommendedItem[item:1642, value:5.5]
54,RecommendedItem[item:851, value:5.404967]
54,RecommendedItem[item:1449, value:5.356473]
54,RecommendedItem[item:1639, value:5.263168]
54,RecommendedItem[item:1293, value:5.2418175]
54,RecommendedItem[item:1080, value:5.149318]
54,RecommendedItem[item:1064, value:5.0305114]
55,RecommendedItem[item:1642, value:6.0]
55,RecommendedItem[item:1398, value:5.79777]
55,RecommendedItem[item:1367, value:5.301405]
55,RecommendedItem[item:1467, value:5.219171]
55,RecommendedItem[item:1064, value:5.1968594]
55,RecommendedItem[item:1396, value:5.0589385]
55,RecommendedItem[item:1500, value:5.0]
55,RecommendedItem[item:1293, value:5.0]
55,RecommendedItem[item:1612, value:5.0]
55,RecommendedItem[item:1449, value:4.997759]
56,RecommendedItem[item:1500, value:6.261379]
56,RecommendedItem[item:1463, value:5.630602]
56,RecommendedItem[item:1293, value:5.519434]
56,RecommendedItem[item:1617, value:5.5]
56,RecommendedItem[item:1398, value:5.340833]
56,RecommendedItem[item:1467, value:5.284004]
56,RecommendedItem[item:1449, value:5.275295]
56,RecommendedItem[item:1367, value:5.219298]
56,RecommendedItem[item:1607, value:5.130684]
56,RecommendedItem[item:1643, value:5.1145773]
57,RecommendedItem[item:1463, value:5.7928934]
57,RecommendedItem[item:1500, value:5.6430836]
57,RecommendedItem[item:1642, value:5.557758]
57,RecommendedItem[item:1449, value:5.3617506]
57,RecommendedItem[item:1398, value:5.3387156]
57,RecommendedItem[item:1293, value:5.2570505]
57,RecommendedItem[item:1612, value:5.151845]
57,RecommendedItem[item:1639, value:5.0419]
57,RecommendedItem[item:1467, value:4.9866133]
57,RecommendedItem[item:119, value:4.8935456]
58,RecommendedItem[item:1662, value:5.5]
58,RecommendedItem[item:1500, value:5.2591944]
58,RecommendedItem[item:1293, value:5.145849]
58,RecommendedItem[item:1642, value:5.1128974]
58,RecommendedItem[item:1367, value:4.9995418]
58,RecommendedItem[item:1449, value:4.986639]
58,RecommendedItem[item:1639, value:4.947718]
58,RecommendedItem[item:1467, value:4.9299827]
58,RecommendedItem[item:1080, value:4.926075]
58,RecommendedItem[item:1368, value:4.8890224]